incident_description,primary_cause
Warning signals at the railroad crossing on Newtown Pike at Third Street are not working. Train came through and its horn was the only warning. This is a busy road.,RAIN-THUNDERSTORM-VEHICLE-WEATHER
"While I was in the rapid mix vault at Kentucky River Station 1, I noticed exposed wiring.",RAIN-SNOW-ELECTRICAL
"Exterior light on ground level of the Main Office is not functioning, creating a potential hazard after-hours. ",RAIN-POOR_VISIBILITY-WEATHER
The contractors working on valve house two left piping in the walk way to the right of the valve house.  This is a low light area due to the construction.  I moved the piping behind the safety fence.,FOG-RAIN-SNOW-POOR_VISIBILITY-WEATHER
"While employee was inspecting the facility, it was observed that the saddles and bolts in the KRS I Rapid Mix vault have degraded, creating a potential engulfment hazard for entrants. ",FOG-RAIN-SNOW-POOR_VISIBILITY-ELECTRICAL-POOR_JUDGMENT-NEGLIGENCE-WEATHER
"While doing the weekly eye wash/safety shower flushing, I noticed a garden hose on the floor beside the wash station.  The female end of the hose was laying on the footpad of the eyewash.  I removed and rolled the hose.",RAIN-THUNDERSTORM-POOR_VISIBILITY-WEATHER
Employee was walking through garage and noticed a loose golf ball on the floor next to the picnic tables.  This was out of place and could have been a tripping hazard.,RAIN-LOW_VISIBILITY
A contractor left a vault key in the vault and on the floor of the KRSII High Service Room.  This is causing a possible tripping hazard. The reporting employee had since moved the key and placed it in an appropriate area.,FOG-RAIN-POOR_VISIBILITY-WEATHER
It was an unusually warm day and I spent a good part of it working safely in a shoring box tightening up fittings. I got back to the shop at the end of the day and I was on my way to my personal vehicle for my ride home. I paused for a moment and decided to enjoy a stick of refreshing Wrigleys spearmint gum. I slipped off the paper sleeve and unwrapped the foil and properly disposed of it in the recycling can. I started chewing the gum and enjoying the flavor as I walked towards my car. Suddenly I tripped over my own two feet! I immediately reported the incident to my supervisor. .He advised me that in the future it may not good for me to try to walk and chew gum at the same time. I thanked him and safely made it to my car.,-POOR_JUDGMENT-NEGLIGENCE
"On 1/29 I was returning from a meeting with a representative with Stillwater Lakes and traveling south on Rte 100 when all power in the vehicle was lost.  About 30 minutes prior to this event, I noticed the ""battery light"" come on and was told by the service company that tends my vehicle that it may be the alternator.  When I lost power in the vehicle I immediately pulled over to the shoulder and called PHH for a tow service.  Although the vehicle was in for service within the past 1-2 months, failure of a mechanical or electrical system is hard to identify without any warning in a vehicle, hence the ""batter light.""  By observing what was going on within and externally to my vehicle I was in a better position to react better when necessary and possibly avoid an accident (physical damage or bodily injury).",-VEHICLE-NEGLIGENCE
Witnessed a contractor doing concrete work using a chop saw. Stopped work immediately and reported to Supervisor. Supervisor held meeting with contractor and reviewed chop saw policy. Contractor understood policy and will discontinue use of saws.,-NEGLIGENCE
As I was exiting the Pac2 containment area I noticed that one of the pins holding the ladder together had backed out.  This provided a sharp edge and also made the ladder unstable with the possibly of coming apart.  I hammered the pin back into place.  The pins could possibly be replaced with a screw so it would not come apart.  Pictures available if needed. ,RAIN
"At a recent confined space training session, two MSA gas monitors were discovered to have not been calibrated since August 2015. In addition, one of the monitors failed its bump test due to what is believed to be a faulty sensor. ",-POOR_JUDGMENT-NEGLIGENCE
"On February 10, 2016 I noticed a crew member of the RRS Filter Building contractor had entered a 8ft deep trench that was not properly banked and had no shoring. I immediately approached the situation and instructed the worker to climb out of the trench. I then notified the onsite supervisor who took appropriate measures to correct the situation and discipline the guilty party. ",-POOR_JUDGMENT-NEGLIGENCE
There are two small containers containing chemicals that are unmarked.  One is bleach used for cleaning and the other is vinegar/hydrogen peroxide solution used for cleanup of sodium permanganate.  Chemical labels have been ordered for both containers and will attach when arrive.,-CHEMICAL
Contractor at the 60 Brooklyn Ave New York American Water construction site was using a banned motorized cutoff (chop) saw without eye protection or hearing protection.  Contractor was told to cease use of that equipment and contractor complied.  ,-NEGLIGENCE
This is an elevated lift station that was constructed with no hand rails at the top.  We have since hired a contractor and had the rails installed.  By installing the hand rails we can now service the pumps. ,-FALL-NEGLIGENCE
Chlorine gas detector that monitors both the chlorine storage area and the injector room failed due to age. There is a back up detector but it is only a single monitor and only monitors the storage area leaving the injector room unprotected in case of a leak. We have already ordered a replacement detector but need to replace the single with a dual also.,-CHEMICAL
almost hit by car while working,-VEHICLE-POOR_JUDGMENT-NEGLIGENCE
"I was digging around the service and the main to replace a lead service. Service was shut off at the corp and service cut free.  Came out of the hole to allow the backhoe to clean out some of the slop.  When reentering the hole to clean around the corp; the corp blew out of the main.  By being aware of the hazard, my body was positioned out of the line of fire.  I came out of the hole and we shut the main down. The shoring box helped protect the hole as well.   Luckily, just got wet.  ",-POOR_JUDGMENT-NEGLIGENCE
Had a small piece of glass on hydt cap. When putting cap back on hit small piece of glass causing it to hit me in the face. Had my safety glasses on. No safety glasses could have been in my eye,RAIN-THUNDERSTORM-POOR_VISIBILITY-WEATHER
A contractor was running cable across the shop ceiling near the overhead door. This was close to lunch time and some employees would be pulling vehicles back into the building. If the overhead door were opened it would have hit the lift or potentially the contractor. The power to the door was shut off and the work was monitored until complete. Cable was run and issue is resolved.,-NEGLIGENCE
Combustible materials were not stored properly.  We identified the materials and placed them in a fire cabinet.  ,-NEGLIGENCE
A tool chest was temporarily moved for cleaning purposes and it was obstructing the use of a safety shower and eye wash station.  The tool chest was removed and the safety concern was discussed with the employees.  ,-NEGLIGENCE
"Digging out to replace leaking setter and broken box. Hit a 2"" gas main that  was miss marked but within the 2ft range. Failed to hand dig and locate gas main. No one was hurt and no property damaged but it could have been deadly. Fire department was dispatched and gas crews were on scene for several hours to repair there main.",-POOR_JUDGMENT-NEGLIGENCE
I was going to transfer 12.5% bleach to the day tank.  I noticed a crack in the housing where the motor connects to the shaft.  I knew I could not transfer it without bleach spraying everywhere.  I stopped and went to the client and got a PO to order a new drum pump.,-NEGLIGENCE
"From a distance observed sewer connection crew setting up to connect new building to street sewer. Inspected the job site and observed that the excavation was approx. 7 feet deep and under a side walk slab with no shoring and no ladder used. Also observed that spoils approx. 5 ft high stock pile, was along the excavation edge and not set back 2 feet,  A construction employee was observed in the shallower benched part of the excavation preparing fittings for the tie in.  ",-POOR_JUDGMENT-NEGLIGENCE
May 2016 trimming trees at home what seemed like a job that required no ppe turns out at least eye protection would have been a great idea.  I was cutting small branches on small bushes this bush had small thorns on it a cut branch fell into my face I felt a sharp pain  in my right but it quickly went away.  I finished the trimming in an hour or so and went in the house as I walked past a mirror I notice the white of my eye was completely red with blood.  I had know pain so I waited until Monday and went to the doctor he confirmed that nothing was in it. He did confirm that a thorn had punctured my eye and fortunately  did not break off,-POOR_JUDGMENT-NEGLIGENCE
"Thursday, June 2, 2016, I was walking up the steps with a small box in one hand and papers in the other hand and tripped on the last step and fell.  The fall could have been prevented if I would have carried both items in one hand so the other hand would have been free to hold onto the railing",-POOR_JUDGMENT-NEGLIGENCE
"Contractor working on new building was using a Cut Saw. Notified Safety Manager Jim Orphanides, who immediately ran out to stop the use of the cut saw. Contractor Stopped.",-NEGLIGENCE
"5 minutes after first contractor was told to stop using the Cut Saw, observed a second contractor using the cut saw again. Also was not wearing Safety Glasses. Asked manager run downstairs and told them to stop using the Cut Saw. ",-NEGLIGENCE
service employee trying to reach ceiling by placing a latter on desk. Worker was stopped immediately and told to get a larger latter.,-FALL-NEGLIGENCE
"The decking on the top of the Stillwater intake for the Forest City WTP is severely rotted.  The rotting boards are a trip/fall hazard, and furthermore are located at a popular fishing location.  With trout season recently opening, this area will experience more traffic than usual and the odds of an accident are greatly increased.  This issue should be taken care of immediately before someone gets seriously injured and PAW is threatened with legal action. ",-NEGLIGENCE
Contractor Employee truck driver Joseph Chiarella was loading up materials on to his contractor boom truck when a hydraulic hose separated from a fitting installed in the boom operating system. The hose separated from the fitting end and released hot hydraulic oil towards the contractor employee who was wearing safety glasses. His safety glasses were blown off and he was splashed with hydraulic fluid in the face and eyes. The store keeper immediately assisted and got the employee to an eye wash station. The manager was then notified who reported to the site and spoke with the contractor employee and advised him to also use the eye wash fluids from his truck first aid kit.  The manager then contacted one of the contractor employee's supervisor  and explained the event and handed the phone over to the employee to allow him to speak with the employee as well. The contractor driver said he was fine but was still advised to have his eyes checked by an eye doctor. ,-CHEMICAL-NEGLIGENCE
"On Saturday, May 14th at around 10:30am a BOD bottle was dropped and shattered on the ground. Glass was spread out across the floor but it was cleaned up thoroughly before anyone could step on it. ",-POOR_JUDGMENT-NEGLIGENCE
"While checking the lagoons, I noticed the door to the incline car building was left open.  Animals could get in and destroy electronics.  Thunderstorms were in the area and rain could have shorted the electronics.  I closed the door.",RAIN-THUNDERSTORM-POOR_VISIBILITY-WEATHER
"An employee was putting a used oil sign on our 55 gallon drums, when he noticed a very large spider at his lift hand. This could have been a spider bit if he had not noticed the spider being there.",-POOR_JUDGMENT-NEGLIGENCE
"Nixon generator contractor was running quarterly P.M on site generators, He noticed this one generator was slowly being covered by ivy. He informed me that he was highly allergic to poison ivy so i stopped him from any more work around this generator and notified manangement of this problem",RAIN-POOR_VISIBILITY-WEATHER
Followed employee up a stairwell and noticed he did not use handrail and his boot lace was untied. Pointed out the potential risk to the employee.,-POOR_JUDGMENT-NEGLIGENCE
"While doing a weekend project on Saturday May 28th, I was getting ready to saw boards.  My grandson stopped me and reminded me to put on my earmuffs. Due to his reminder, we both may have prevented hearing loss. ",-POOR_JUDGMENT-NEGLIGENCE
"I was heating something up in the microwave in the cafeteria. The microwave began its' countdown but nothing else would turn on. Another employee pointed out to me that you need to hold the door release button in slightly and it will begin to work. It appears there maybe a short in it, and it could pose a shock or electrical fire hazard. I placed a sign on the microwave indicating it is out of order and to not use it. ",-ELECTRICAL-NEGLIGENCE
Walking into the building it was noticed that the cigarette disposal in front of the building was smoking and could possibly be on fire.  A hose nearby was used to eliminate any fire in the container.  The container was observed until no smoke was visible. Management was notified.,FOG-RAIN-THUNDERSTORM-POOR_VISIBILITY-WEATHER
Employee was driving to read meters and tried to press his brakes to stop.  He felt that there was not any pressure when applying the brakes.  Employee acted quickly and calmly and pump the brakes to get pressure back and was able to stop vehicle.  It was found that the break lines were worn and had break fluid leaking.  Employee reported to supervisor and vehicle was towed to repair shop to be repaired. ,-VEHICLE-NEGLIGENCE
A contractor was running cable across the shop ceiling near the overhead door. This was close to lunch time and some employees would be pulling vehicles back into the building. If the overhead door were opened it would have hit the lift or potentially the contractor. The power to the door was shut off and the work was monitored until complete. Cable was run and issue is resolved.,-NEGLIGENCE
"Employee reported that on June 17, 2016, his crew was dispatched to install assets on the site. Employee informed the supervisor that there were no markings on the property. Tennessee does not require painted markings at dig sites. While digging, the crew discovered a gas line. Nearly striking the pipe and breaking the tracer line which is less than an inch from the pipe. Employee sent an image of the dig to the supervisor. Supervisor sent employee a picture of the dig ticket stating the site was cleared. Upon reaching the marking crew, it was discovered that the marking crew had not inspected this location despite the ticket. ",-NEGLIGENCE
"While in the chemical building timing pumps, An employee noticed that another hose was left out in the path to the eyewash/safety shower. Employee removed the hose and bucket that was in close proximity.",FOG-POOR_VISIBILITY-WEATHER
"Employees were replacing a burnt control fuse on a lift station pump/VFD.  Lockout/Tagout properly conducted during the process.  While re-energizing the power to the pump, the VFD suffered an electrical failure and burned.  Power was immediately cut to the station.  Upon opening control panel, smoke was seen coming from the affected drive with obvious signs of arc flash.  Unit was locked out and tagged DO NOT RUN.  Vendor will be contacted to make repairs as needed.",-NEGLIGENCE
Combustible materials were not stored properly.  We identified the materials and placed them in a fire cabinet.  ,-NEGLIGENCE
"On 07/18/2016, I visited a jobsite located on Lee Highway. While at the site, I noticed an employee down in the excavation who was exhibiting what I felt were symptoms of a heat stroke. The employee's face was flushed, they indicated that they felt like they were going to vomit. The employee was simply not acting like their normal self (seemed agitated and somewhat confused). ",-POOR_JUDGMENT-NEGLIGENCE
Safety latch quit working properly on electrical cabinet.  Equipment was placed out of service and repairs were made wearing the proper PPE.  ,-NEGLIGENCE
"Quad Cities Distribution crew (who wish to remain anonymous) were unloading 12"" ductile iron pipe from a semi. During the process of unloading the pipe the driver of the truck exited the vehicle into the work zone. The driver was not wearing proper PPE. The Crew stopped the unloading process and asked the drive to put on proper PPE or return to the cab of the truck. The drive return to the Cab of the truck and work continued.  ",-VEHICLE-POOR_JUDGMENT-NEGLIGENCE
"A near miss was reported regarding difficulty stopping the truck and trailer hauling the mini excavator and it was felt the brakes were working fine, but the truck slid on wet pavement. Another employee used the combination and expressed the same issue but stated this was on dry pavement. I took the truck and trailer out of service immediately and scheduled them for inspection the next day. The repair facility found the brakes were not in proper working order and made repairs. I have scheduled a full DOT inspection done to be sure there are no other issues before the unit is returned to service.",-NEGLIGENCE
On Wednesday 7/20/16 two FSTs and myself were investigating an unmetered water connection.  An FST needed to gain access to the meter pit.  We proceeded to test the air in the pit with the air monitor.  We tested at the top and the middle and got good readings.  When we tested the air at the bottom we got continual low oxygen alarms.  We did not enter the pit.  We came back later in the day with the air blower and moved fresh air into the pit.  We then tested the air again with the air monitor.  We got good air readings at all levels and were able to enter the pit. ,-NEGLIGENCE
PIT AT RED OAK HAD LOW OXYGEN LEVELS. REPORTED AND DID NOT ENTER,-NEGLIGENCE
Ken was doing the speed limit driving down Route 38 Eastbound (not near a traffic signal) when he came across an older gentleman walking across Route 38 with a walker. Ken proceeded to put his flashers on and assist the older gentleman across the street. Ken was able to get all the vehicles behind him to either slow down or completely come to a stop so the elderly gentleman could safely cross the street,-POOR_JUDGMENT-NEGLIGENCE
"On July 26th while weed eating near my driveway, a rock was flung at my face and hit my safety glasses. Had I not been wearing proper PPE not only at work but at home too, I would have been seriously injured.",-POOR_JUDGMENT-NEGLIGENCE
Could not enter into vault to set meter due to very low oxygen levels. ,-POOR_JUDGMENT-NEGLIGENCE
"As I was conducting a safety/Cleanliness facility walkthrough, I noticed there was a fairly large birds nest located on top of the outside light, which could result in a fire.  The Superintendent removed the birds nest to prevent a potential fire.",-NEGLIGENCE
Contractor was digging with a pick and was not wearing safety glasses.  The contractor had to stop working and get the proper PPE.,-NEGLIGENCE
While an employee was completing safety observation of the facilities pump stations and tanks.  The inspection found that there was a number of electrical panels that did not have the proper rubber insulating matting beneath it. The mats provide protection against certain types of shocks that can occur while working on the electrical gear. The lack of these mats creates an extremely  hazardous working environment.  The employee have since re-evaluated all areas of the plants.  The pump stations and tanks were made sure to have mats in all locations where its needed. - Issue has since been resolved.,-ELECTRICAL-NEGLIGENCE
"I noticed a coworker getting ready to go down in a pit, he had forgotten to put his hard hat on.So I stopped him to remind him he needed his hard hat before proceeding.  He got it and proceeded.",-NEGLIGENCE
"Employee witnessed a client maintenance man using a grinder in our office/lab to remove the shell of a ac unit.  They could not see his face but noticed his eye protection on the lab counter.  Employee immediately stopped him to ask about his eye protection.  His response was ""Oh shoot!  they thought the employee had them on!""  He immediately got up from a crouched position and grabbed his eye protection to put them on.  He was thankful because he actually intended to have them on.",-NEGLIGENCE
"When lights were turned on in record room of Filter Building 3, sparks started coming out of the lights. This is a fire hazard, and power should be disconnected to the building.",-ELECTRICAL-NEGLIGENCE
Employee slipped on the wet tile at home getting out of the shower nearly falling in my bathroom.,-POOR_JUDGMENT-NEGLIGENCE
Comfined space entry was being set up for durham waste water pump station  During gas detector test it was noted that on sensor on the detector was not working correctly. The entry was canceled  a similar gas detector was brought from another facilty to use.  The entry was then reshuduled and completed. It pays to check and make sure all equipment is working correctly all the time.,-NEGLIGENCE
"Employee went to set new 6"" meter for a new customer. While removing temporary spindle pipe they observed that none of the fitting on the valves or plumbing were tightened down. If we would have set the meter and turned the water on the valves and meter could have blown off causing serious injury or death. Stopped job and told contractor that we will not set meter until the plumbing is properly secured.",-NEGLIGENCE
"An employee reported changing a leaking fitting on the cl2 pumping system and had one of the gloves he was wearing rip. He took the ripped glove off and washed his hands, and put on new gloves.",-CHEMICAL
"Worker was hand digging near underground electric line with a bar, still 2ft. away of the line it arced, the worker was outside the ditch and felt a tingle thru the bar. We stopped work and notified the Electric Co.",-NEGLIGENCE
American Water Inspector noticed that contractor's excavation was too deep to not have trench box and stopped work until they brought in trench box and made site OSHA compliant. ,-POOR_JUDGMENT-NEGLIGENCE
"3-18-2016 This morning I observed an employee using the bench top wire wheel. He was cleaning a bolt, while doing so the bolt head was stopping the wheel and jamming it. I asked him to stop and move the bottom plate closer to the wire wheel that way the head will not get caught in the gap.",-NEGLIGENCE
"On 5-3-14 two employees noticed the hood on one of the trucks in the yard was slightly open. When they tried to close it all the way they realized the latch was not functioning properly, preventing the hood from staying closed all the way. There was not time to try and fix it at that time so they let it go but did not red tag the vehicle. The next day another employee drove the truck without realizing the hood was not fully closed. When the employee got onto the freeway he noticed the hood bobbing up and down and immediately pulled over. Once he realized the hood would not close all the way he returned to the shop and red tagged the vehicle. The vehicle is now out of service until the hood can be repaired. ",-NEGLIGENCE
May 2016 trimming trees at home what seemed like a job that required no ppe turns out at least eye protection would have been a great idea.  I was cutting small branches on small bushes this bush had small thorns on it a cut branch fell into my face I felt a sharp pain  in my right but it quickly went away.  I finished the trimming in an hour or so and went in the house as I walked past a mirror I notice the white of my eye was completely red with blood.  I had know pain so I waited until Monday and went to the doctor he confirmed that nothing was in it. He did confirm that a thorn had punctured my eye and fortunately  did not break off,-POOR_JUDGMENT-NEGLIGENCE
the cars speedometer was going from 0-120 and skipping up and down 3 gears on the hwy so it was returned back to Litchfield and taken to  ford dealer for servicing,-VEHICLE-NEGLIGENCE
Observed TYCO Security contractor working on 6 ft A frame ladder standing on the last highest step against safety instructions posted on the ladder.  He was working on trouble shooting wiring in the ceiling for the front door access system. ,-FALL-POOR_JUDGMENT-NEGLIGENCE
"The second shift Treatment Operator was changing out an empty chlorine cylinder for a full one.  When she got the bonnet off the full cylinder and went to access the valve cap, she noticed there was a green color on the whole valve, an indication of exposure to chlorine.  Uncertain as to whether or not it was currently leaking, she tested it with the ammonia to confirm there wasn't any active leaking taking place.  Seeing it was not indicating any active leak, she still felt uncertain as to whether or not to use the cylinder.  She placed a call to a supervisor who confirmed that it was best not to use that cylinder at this time, until further review could take place.  She was instructed to utilize a different cylinder and a deeper investigation would take place to ensure the safety of using the cylinder of concern.",-CHEMICAL
"While performing a safety sweep of the garage I came across different drink bottles that had been left throughout the building. Most looked like water but I found one which contained an unknown, clear, strong smelling liquid that would probably be used for cleaning. It was properly disposed of and I communicated to the group that this is improper storage/use of a product which could result in an employee accidentally ingesting the contents. ",-CHEMICAL
"Observed contractors trimming weeds/lawncare using weed wackers on large bank facing road at our facility, one worker was not wearing protective eyeware.  Suggested to our shop clerk that we provide worker with a pair of safety glasses.  Stopped worker and provided him with a pair of safety glasses. Young man was grateful for the offer of glasses and promptly put them on.",-NEGLIGENCE
Employee was setting up ladder to enter wet well. It was noticed that the aluminum on the side rail of the ladder was cracked and split. The employee shut down the job and contacted a supervisor and reported the condition. He stopped the job until the ladder can be replaced.,-NEGLIGENCE
"An employee reported during a staff meeting in the parking lot to go over daily tasks and assignments, an employee noticed a wasp attempting to land on another employee's back. He spoke up and all employees relocated to a safe area inside. Waited a few minutes and thoroughly scoured area for nests. Small nest was located in eve of the maintenance building. Nest was destroyed and area was cleared.",-NEGLIGENCE
While employee swiped their card to enter the building the glass on the door almost fell out while they were entering the building. Contacted the maintenance group to fix the problem.,-NEGLIGENCE
"While watching another employee ascend a ladder, I observed that one of the legs had a hairline fracture that appeared to be spreading. I notified the employee of the issue and we stopped work, then we properly disposed of the ladder. I am ordering a new replacement ladder. ",RAIN-LOW_VISIBILITY-HIGH_WINDS
wasp nest hidden behind entry door handle. sprayed and removed.,RAIN-THUNDERSTORM-HIGH_WINDS-NEGLIGENCE-WEATHER
I was coming into the Water Quality/Production area and tripped over a rug that was near the door and was sticking up. A photograph showing the rug is included. The rug was removed. ,RAIN-SNOW
AT&T made modifications to their equipment that is located on the Mercer Road tank without having the work approved.  The work is in direct violation of OSHA regulations since their equipment protrudes over the walking area near the top of the tank.  ,RAIN-THUNDERSTORM-HIGH_WINDS-WEATHER
Hose was left in the area in front of one of the shower/eye wash stations in the chemical building.  I removed the hose and a bucket of liquid.  The area is now cle,RAIN-SNOW-HIGH_WINDS
While taking a phone call during the installation/start-up of HS #15 Pump and VFD at KRS1 I walked outside of the high service pump station to get away from noise. While casually walking around during the phone call I stepped onto an old vault (see attached photo) outside the pump station. At that point I noticed the vault has a very severe drop-off to ground level on the side of the vault furthest from the pump station (and increasingly severe on either side). I notified maintenance that we will need a hand rail installed to prevent falls off of this structure. I will also request that temporary safety-cones/rails be installed until there is a permanent fix in place.,RAIN-THUNDERSTORM-HIGH_WINDS-FALL-WEATHER
"While driving to our river plant, I noticed a large amount of gravel and mud in the roadway at the entrance to KAWC private road.  This area has been an ongoing construction site where they appear to be building new homes.  They appear to be hauling many loads of gravel to their site, in the process they are tracking dangerous amounts of debris into the roadway(rock,mud and silt).  This is largely in part to the snow and rain we have had recently and this aids in the sticking of debris to the truck tires.  I personally skidded in my work truck while slowing to make the turn into our private road and immediately realized the hazard present.  I thought about the semi truck and trailers that come down this same road and how the debris could affect their stopping ability even greater than myself due to the weight they are hauling.  I Immediately contacted my plant supervisor and made her aware. ",-HIGH_WINDS-VEHICLE
"I noticed the concrete sidewalk leading to/from the stairs leading up to hydrotreaters one & two had a 3"" drop off.  The contractors working on valve house two had removed the sidewalk.  I filled the area with gravel to mitigate the fall hazard.",RAIN
"A customer came to the local lobby to inquire about their account, and had small child with them. The customer placed the child up on the counter (3-4 feet off the ground) to stand / sit there while working with the clerk. The clerk gave the customer a friendly reminder of our emphasis on safety and asked the customer to remove the child from the counter. Our clerk practiced good safety awareness and gave a reminder / opportunity to reinforce with all of the team to help our customers practice safety when they bring small children into the lobby.",RAIN-THUNDERSTORM-LOW_VISIBILITY-FALL-WEATHER
Spotted a contractor sitting in the back of a truck that was transporting boxes to main office. Immediately stopped vehicle and informed individual of dangers and company policy and asked that he either get in the cab of the vehicle or walk.,RAIN-NEGLIGENCE
Inside the altitude vault at Mercer Road Tank site.  One receptacle box that the sump pump is plug into was missing it's cover.  And one junction box was missing it's cover.,SNOW-ELECTRICAL
"Employee started to roll window down when glass suddenly came loose and fell all the way into the door.  Employee took truck directly to dealer for repair, they picked it up the next day and the same thing happened.  Again the employee took it for repair and it has not happened since.",SNOW-VEHICLE
Employee was driving with one door on the back of the truck open.  All items were secure and nothing had fallen out of the truck.,RAIN-LOW_VISIBILITY-VEHICLE
"We change sludge pumps in these holding tanks 2 to 3 times a year. The method we use is a homemade frame that is removable with a small wire rope hoist from grainger attached to this frame. A trap door has to be raised to get to this pump and raise it out of the tank with no railing around this door. When the pump is raised to the grating your standing on,  you have to move the pump to the edge of the tank with a 2 wheel dolly. The metal grating has a smooth edge on it so when its snowing or raining, like it was on the 12th, it is very slick. Moving this pump with the dolly on slick grating is not safe. I think this condition could be made more safe with an approved frame and trolly with an approved hoist to move this pump to the end of the tank. Also a removable hand rail around these trap doors and grating with a grooved edge for traction. ",SNOW-LOW_VISIBILITY-FALL-POOR_JUDGMENT-NEGLIGENCE
"While getting samples, I noticed the contractors had left a bunch of equipment on the ground by hydrotreater #8.  There were two canisters of gas that were horizontal and unsecured.  I reported it to the contractor immediately and asked them to store them vertical/secured.  This picture taken from the walkway of hydrotreater eight.",RAIN-THUNDERSTORM-HIGH_WINDS-WEATHER
"During my routine inspection, I noticed a missing lug nut on one of my wheels.  I had it replaced and made sure all lug nuts were properly tightened.",RAIN-THUNDERSTORM-HIGH_WINDS-VEHICLE-WEATHER
Workers Working on Ramp leading to the Second Floor with no signs out.  They have a Propane torch and using brooms.,RAIN-THUNDERSTORM-WEATHER
"Contractor was loading soils into a dump truck while another crew member was the sweeping the street. Crew could have been hit by the boom, falling dirt clods or rocks. Crew member was ask to move to safer location.",RAIN-THUNDERSTORM-VEHICLE-WEATHER
"I am doing a chemical inventory update and clean out at the Peoria Laboratory.  Every laboratory has a chemical inventory with accompanying MSDS or SDS that have to be kept up to date.  The process of logging in chemicals and ensuring that MSDS and SDS are available for that chemical is a standard practice in any lab, but how often should a laboratory clean out it's inventory?  I have been the lab analyst in Peoria going on three years and this is the first clean out I have performed.  I have been going through the chemicals stored in the laboratory and have identified a large number of obsolete chemicals.  This near miss report is in regards to storing chemicals that are no longer in use for extend periods and how that can be dangerous.",-CHEMICAL
"Left turn lane for New Circle is backed up at rush hour, so cars are making u-turns in front of main office to then get on New Circle. Was almost hit from someone doing this and not paying attention. ",RAIN-THUNDERSTORM-VEHICLE-WEATHER
Our eye wash/emergency shower in the chemical building had no clear path.  I moved the items out of the way.,RAIN-THUNDERSTORM-LOW_VISIBILITY-WEATHER
"While doing the monthly fire extinguisher inspections, an employee came upon an unsecured and open gate leading to an electrical sub station building #2. After completing the inspection, the employee closed and locked the gate.",RAIN-THUNDERSTORM-WEATHER
"Employee reports that they and another employee were leaving the company?s property, they observed 5 employees - 2 of them supervisors walking along Richmond Rd without their safety vest on (they were returning from the ""Adopt a Highway"" cleanup project). They were not able to say something to them as they were traveling in a different direction, but this incident was reported to the Department's Manager upon their return to the office.",THUNDERSTORM-WEATHER
"A potentially dangerous situation occurred on April 11, 2016 while using chemical drum pump. The pump used to transfer sodium permanganate from 55 gallon drums to a 300 gallon day tank. At some point between its last use and April 11th the pump stem developed a hair line crack that was unnoticeable due to chemical staining and the small nature of the crack. When the pump was turned on and the stem became pressurized and the chemical sprayed out of the hairline crack coating the employee with sodium permanganate from mid chest to waist. Fortunately the protocol for filling day tanks is full face mask and the employee did not get sprayed in the face area. The employee took a shower and replaced clothing for the remainder of their shift.",-CHEMICAL-NEGLIGENCE
When walking behind the Maintenance Garage at KRS01 I observed the storage area where pipe and ladders and misc. items are stored. The path to walk to get pipe out of the rack is blocked with objects and is a trip hazard to try and walk down. ,RAIN
"Today, June 24, 2016 at 15:00 I was stabilizing a secondary container for Sodium bisulfate, into which a coworker was hand pumping 40% Sodium bisulfate solution for transport purposes. We have been advised to use up the stock supply at the WWTP for de-chlorination purposes at the water plant.   I was wearing latex gloves and eye protection, I have still not been issued a full face mask respirator.  During the pumping process, the fumes were overbearing (upon observation the label says to avoid fumes) and the hand pump shifted, causing Sodium bisulfate to splash significantly.  Skin contact was made with my wrist and was immediately washed.  I stopped working, however, my coworker completed the process.",-CHEMICAL
"When beginning to unload a delivery of chlorine ton cylinders off of the supplier's truck, I noticed that the fuse-able plug on one of the cylinders had leaked chlorine gas.  It was obvious it had leaked because there was corrosion around the plug and on the cylinder.  I told the truck driver that we would not accept delivery of that cylinder and called my supervisor.  She inspected the cylinder and called the supplier to let them know we would not accept the chlorine cylinder and were sending it back.",-CHEMICAL
While I was inspecting the intake structure I found there was a large hole exposed in the walk way of the bottom landing at the intake structure. There is normally a metal plate covering the hole but it had been moved. I placed the plate back over the hole so no one will step in it and requested maintenance to secure the plate so that it can not be easily moved again.,RAIN-SNOW
"While checking for electrical cord issues, I found a hand held band saw that had exposed wiring.  I tagged it out of service and contacted Supervisorvia e-mail to report it.",RAIN-THUNDERSTORM-HIGH_WINDS-ELECTRICAL-WEATHER
